arxiv_id,field,field_label,category,license_label,license,citations,year,venue,published,doi,journal_ref,authors,title
1711.08195,cs,Computer Science,cs.CL,CC-BY,http://creativecommons.org/licenses/by/4.0/,660,2017,Annual Meeting of the Association for Computational Linguistics,True,10.18653/v1/P18-1240,,"Baoyu Jing, Pengtao Xie, Eric Xing",On the Automatic Generation of Medical Imaging Reports
1812.10968,cs,Computer Science,cs.RO,CC-BY,http://creativecommons.org/licenses/by/4.0/,269,2018,2019 1st International Conference on Unmanned Vehicle Systems-Oman (UVS),True,,"The 1st Unmanned Vehicle Systems conference in Oman, Feb 2019","Bilel Benjdira, Taha Khursheed, Anis Koubaa, Adel Ammar, Kais Ouni",Car Detection using Unmanned Aerial Vehicles: Comparison between Faster R-CNN and YOLOv3
1901.06081,cs,Computer Science,cs.CV,CC0,http://creativecommons.org/publicdomain/zero/1.0/,157,,,True,10.1016/j.patcog.2019.01.025,,"Sheng He, Lambert Schomaker",DeepOtsu: Document Enhancement and Binarization using Iterative Deep Learning
1812.10405,cs,Computer Science,cs.CY,CC-BY,http://creativecommons.org/licenses/by/4.0/,121,2018,Applied Energy,True,10.1016/j.apenergy.2018.11.097,"Applied Energy 236 (2019), 401-409","Frauke Wiese, Ingmar Schlecht, Wolf-Dieter Bunke, Clemens Gerbaulet, Lion Hirth, Martin Jahn, Friedrich Kunz, Casimir Lorenz, Jonathan Mühlenpfordt, Juliane Reimann, Wolf-Peter Schill",Open Power System Data - Frictionless data for electricity system modelling
1610.04546,cs,Computer Science,cs.SE,CC-BY,http://creativecommons.org/licenses/by/4.0/,88,2016,PLoS Comput. Biol.,True,10.1371/journal.pcbi.1005412,,"Morgan Taschuk, Greg Wilson",Ten Simple Rules for Making Research Software More Robust
1703.01203,cs,Computer Science,cs.LG,CC-BY,http://creativecommons.org/licenses/by/4.0/,55,2017,Neural Networks,True,10.1016/j.neunet.2017.07.014,"Neural Networks 94 (2017), 255-259","A. N. Gorban, I. Y. Tyukin",Stochastic Separation Theorems
1311.6556,cs,Computer Science,cs.LG,CC-BY,http://creativecommons.org/licenses/by/3.0/,53,2013,Pacific-Asia Conference on Knowledge Discovery and Data Mining,True,10.1007/978-3-319-57454-7_53,DBLP:conf/pakdd/2017-1,"Naresh Manwani, Kalpit Desai, Sanand Sasidharan, Ramasubramanian Sundararajan",Double Ramp Loss Based Reject Option Classifier
1708.06828,cs,Computer Science,cs.CL,CC0,http://creativecommons.org/publicdomain/zero/1.0/,50,2017,IEEE International Joint Conference on Neural Network,True,,"In Proceedings of the International Joint Conference on Neural Networks, of IJCNN'17, pages 4363--4370, Anchorage, AK, 2017","Bonggun Shin, Falgun H. Chokshi, Timothy Lee, Jinho D. Choi",Classification of Radiology Reports Using Neural Attention Models
1706.03675,cs,Computer Science,cs.SI,CC-BY,http://creativecommons.org/licenses/by/4.0/,44,2017,Algorithms,True,10.3390/a10030093,"Algorithms 10, no. 3: 93 (2017)","William H. Weir, Scott Emmons, Ryan Gibson, Dane Taylor, Peter J. Mucha",Post-processing partitions to identify domains of modularity optimization
1708.08801,cs,Computer Science,cs.IT,CC-BY,http://creativecommons.org/licenses/by/4.0/,28,2017,IEEE Communications Letters,True,10.1109/LCOMM.2017.2747550,,"Monirosharieh Vameghestahbanati, Ebrahim Bedeer, Ian Marsland, Ramy H. Gohary, Halim Yanikomeroglu",Enabling Sphere Decoding for SCMA
