pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
1105.0629,qwen-plus,contract,99.0,100.0,100.0,2130,2109,552,552,100.0,99.9,,98,11494,6473,0.0221,True
1105.0629,qwen-plus,naive,76.1,53.3,100.0,2130,1621,552,294,99.5,97.3,,98,7220,5142,0.0161,True
1410.6086,qwen-plus,contract,98.6,99.3,100.0,1925,1898,594,590,99.9,99.6,,164,13311,9423,0.0295,True
1410.6086,qwen-plus,naive,44.8,24.1,100.0,1925,863,594,143,93.6,100.0,,164,9057,5801,0.0188,True
1311.6556,qwen-plus,contract,99.0,99.9,100.0,3095,3065,858,857,99.8,99.6,,432,27534,13470,0.049,True
1311.6556,qwen-plus,naive,62.9,33.1,100.0,3095,1947,858,284,97.5,85.2,,432,19345,12282,0.04,True
1410.4274,qwen-plus,contract,97.6,98.1,100.0,2399,2342,744,730,99.4,99.0,,171,24145,16332,0.052,True
1410.4274,qwen-plus,naive,40.7,19.6,100.0,2399,977,744,146,94.8,79.2,,171,15972,13742,0.0403,True
1504.01329,qwen-plus,contract,97.3,100.0,100.0,855,832,188,188,100.0,99.9,,94,16636,10053,0.0334,True
1504.01329,qwen-plus,naive,65.6,39.4,100.0,855,561,188,74,99.9,99.0,,94,12468,8573,0.0271,True
1212.6831,qwen-plus,contract,98.8,99.5,100.0,2719,2686,1371,1364,99.4,98.8,,153,31599,21605,0.0685,True
1212.6831,qwen-plus,naive,23.4,11.2,100.0,2719,637,1371,153,96.1,85.3,,153,17347,13903,0.0417,True
1503.05974,qwen-plus,contract,99.4,99.7,100.0,9890,9832,1790,1785,99.9,99.7,,449,38814,24234,0.0795,True
1503.05974,qwen-plus,naive,61.0,29.9,100.0,9890,6031,1790,535,98.2,98.7,,449,25156,15770,0.0517,True
1505.04697,qwen-plus,contract,96.7,98.7,100.0,1579,1527,532,525,99.7,99.2,,151,26671,15582,0.0525,True
1505.04697,qwen-plus,naive,44.9,21.2,100.0,1579,709,532,113,98.1,81.9,,151,17243,11654,0.0371,True
1605.04668,qwen-plus,contract,99.6,99.9,100.0,4514,4497,877,876,100.0,100.0,,121,14299,8738,0.0289,True
1605.04668,qwen-plus,naive,76.2,51.9,100.0,4514,3438,877,455,100.0,99.9,,121,8367,6661,0.02,True
1604.01212,qwen-plus,contract,97.8,99.7,100.0,2412,2358,630,628,99.9,99.7,,150,21274,13776,0.0446,True
1604.01212,qwen-plus,naive,62.1,43.5,100.0,2412,1497,630,274,99.8,98.7,,150,15644,9856,0.0322,True
1608.04435,qwen-plus,contract,99.1,99.2,100.0,1700,1684,634,629,99.0,97.5,,121,10914,8186,0.0251,True
1608.04435,qwen-plus,naive,34.5,14.0,100.0,1700,586,634,89,99.7,98.5,,121,6614,4149,0.0136,True
1507.05405,qwen-plus,contract,97.5,99.5,100.0,2613,2547,1066,1061,99.6,99.1,,282,29569,19821,0.0633,True
1507.05405,qwen-plus,naive,42.1,18.2,100.0,2613,1100,1066,194,98.8,92.1,,282,20785,18679,0.054,True
1607.00833,qwen-plus,contract,97.9,100.0,100.0,2428,2377,836,836,99.9,99.6,,189,21236,14213,0.0454,True
1607.00833,qwen-plus,naive,37.5,13.9,100.0,2428,910,836,116,99.7,97.3,,189,13146,9330,0.0292,True
1610.04546,qwen-plus,contract,92.9,,100.0,252,234,0,0,99.7,,,91,10975,6015,0.0208,True
1610.04546,qwen-plus,naive,68.3,,100.0,252,172,0,0,99.6,,,91,9081,5720,0.0187,True
1605.01068,qwen-plus,contract,98.9,99.6,100.0,5790,5726,1796,1789,99.9,99.7,,372,31236,21225,0.0674,True
1605.01068,qwen-plus,naive,56.4,32.3,100.0,5790,3268,1796,580,99.7,98.3,,372,19722,15326,0.0464,True
1610.05885,qwen-plus,contract,94.8,97.7,100.0,1879,1781,651,636,100.0,99.9,,152,14979,9446,0.0309,True
1610.05885,qwen-plus,naive,70.6,63.3,100.0,1879,1327,651,412,99.8,99.5,,152,10323,7118,0.0225,True
1609.06247,qwen-plus,contract,98.1,98.2,100.0,2337,2293,793,779,99.2,97.6,,265,19434,13143,0.0418,True
1609.06247,qwen-plus,naive,56.7,35.4,100.0,2337,1324,793,281,98.4,92.6,,265,13972,8700,0.0286,True
1701.05828,qwen-plus,contract,98.6,100.0,100.0,1319,1301,443,443,99.9,99.6,,74,12336,8544,0.027,True
1701.05828,qwen-plus,naive,63.8,48.5,100.0,1319,842,443,215,96.5,88.0,,74,8855,6017,0.0191,True
1611.00590,qwen-plus,contract,98.9,99.9,100.0,2387,2360,758,757,99.8,99.5,,133,16867,10390,0.0343,True
1611.00590,qwen-plus,naive,69.6,55.7,100.0,2387,1661,758,422,96.1,84.7,,133,11249,9299,0.0276,True
1701.01189,qwen-plus,contract,93.7,100.0,100.0,522,489,147,147,99.5,99.8,,80,14497,10119,0.0318,True
1701.01189,qwen-plus,naive,38.7,21.1,100.0,522,202,147,31,98.3,97.4,,80,11874,8929,0.0274,True
1611.07079,qwen-plus,contract,99.0,99.5,100.0,894,885,182,181,100.0,100.0,,88,20104,12077,0.0402,True
1611.07079,qwen-plus,naive,45.7,22.5,100.0,894,409,182,41,98.3,89.0,,88,14464,10779,0.0331,True
1701.07389,qwen-plus,contract,98.8,99.7,100.0,1934,1911,581,579,99.8,99.4,,82,15836,10811,0.0343,True
1701.07389,qwen-plus,naive,59.1,25.5,100.0,1934,1143,581,148,98.4,82.1,,82,9082,7521,0.0223,True
1703.01203,qwen-plus,contract,98.9,97.3,100.0,1411,1395,296,288,99.6,97.6,,61,8919,5828,0.0188,True
1703.01203,qwen-plus,naive,60.8,19.6,100.0,1411,858,296,58,98.9,78.8,,61,5222,4801,0.0138,True
1701.07681,qwen-plus,contract,94.2,99.3,100.0,763,719,147,146,99.9,99.9,,119,16952,13248,0.0401,True
1701.07681,qwen-plus,naive,66.7,8.8,100.0,763,509,147,13,99.7,97.4,,119,14863,11731,0.0354,True
1703.03328,qwen-plus,contract,89.8,76.5,100.0,520,467,187,143,97.4,90.4,,33,8731,6210,0.0194,True
1703.03328,qwen-plus,naive,34.2,9.1,100.0,520,178,187,17,92.2,14.7,,33,6169,5103,0.0151,True
1702.08226,qwen-plus,contract,98.5,99.9,100.0,3101,3054,885,884,100.0,100.0,,157,19587,12880,0.0414,True
1702.08226,qwen-plus,naive,69.7,51.2,100.0,3101,2162,885,453,99.0,94.6,,157,13086,9072,0.0286,True
1705.07158,qwen-plus,contract,96.4,97.5,100.0,695,670,118,115,99.8,98.1,,79,11530,7751,0.0247,True
1705.07158,qwen-plus,naive,59.7,38.1,100.0,695,415,118,45,100.0,100.0,,79,9318,6809,0.0211,True
1706.02777,qwen-plus,contract,83.2,,100.0,488,406,0,0,100.0,,,301,20780,5459,0.0275,True
1706.02777,qwen-plus,naive,74.6,,100.0,488,364,0,0,100.0,,,301,15526,4990,0.0224,True
1704.04851,qwen-plus,contract,97.8,98.8,100.0,4274,4181,1201,1187,99.8,99.4,,245,34196,22271,0.0719,True
1704.04851,qwen-plus,naive,52.3,28.7,100.0,4274,2236,1201,345,98.3,90.8,,245,21751,15734,0.0489,True
1705.02349,qwen-plus,contract,98.4,99.5,100.0,1432,1409,611,608,100.0,99.9,,84,23413,16154,0.051,True
