pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
1105.0629,qwen3.7-plus-nothink,contract,99.0,99.8,100.0,2130,2108,552,551,100.0,99.9,,98,11611,7180,0.0779,True
1105.0629,qwen3-max-2026-01-23,contract,99.0,99.8,100.0,2130,2108,552,551,100.0,99.9,,98,11503,6733,0.0922,True
1105.0629,glm-4.7,contract,99.0,100.0,100.0,2130,2109,552,552,100.0,99.9,,98,11253,6485,0.022,True
1105.0629,kimi-k2.5,contract,99.1,100.0,100.0,2130,2110,552,552,100.0,100.0,,98,9463,9407,0.0264,True
1105.0629,minimax-m2.5,contract,99.3,99.6,100.0,2130,2115,552,550,99.6,98.5,,98,11195,15171,0.0393,True
1212.6831,qwen3.7-plus-nothink,contract,99.0,99.9,100.0,2719,2692,1371,1369,99.6,99.1,,153,31771,22522,0.2304,True
1212.6831,qwen3-max-2026-01-23,contract,98.6,99.1,100.0,2719,2680,1371,1359,99.7,99.4,,153,31588,21189,0.2792,True
1212.6831,glm-4.7,contract,98.9,99.6,100.0,2719,2688,1371,1365,99.8,99.6,,153,30539,20356,0.0651,True
1212.6831,kimi-k2.5,contract,99.8,99.9,100.0,2719,2714,1371,1370,100.0,100.0,,153,25062,20276,0.0606,True
1212.6831,minimax-m2.5,contract,98.6,99.1,100.0,2719,2681,1371,1359,99.4,98.9,,153,30930,36503,0.0978,True
1311.6556,qwen3.7-plus-nothink,contract,99.0,100.0,100.0,3095,3063,858,858,99.9,100.0,,432,27984,17786,0.1907,True
1311.6556,qwen3-max-2026-01-23,contract,99.2,100.0,100.0,3095,3071,858,858,99.9,100.0,,432,27532,13263,0.1934,True
1311.6556,glm-4.7,contract,98.9,99.9,100.0,3095,3062,858,857,99.9,100.0,,432,25409,13856,0.048,True
1311.6556,kimi-k2.5,contract,99.3,100.0,100.0,3095,3072,858,858,99.9,100.0,,432,18640,11328,0.0376,True
1311.6556,minimax-m2.5,contract,96.0,89.4,100.0,3095,2972,858,767,99.9,99.8,,432,25708,21417,0.0634,True
1410.4274,qwen3.7-plus-nothink,contract,98.6,99.9,100.0,2399,2365,744,743,100.0,99.9,,171,24378,17261,0.1767,True
1410.4274,qwen3-max-2026-01-23,contract,98.4,99.6,100.0,2399,2361,744,741,99.9,99.6,,171,24129,16024,0.2117,True
1410.4274,glm-4.7,contract,98.6,99.9,100.0,2399,2366,744,743,100.0,99.9,,171,23593,16352,0.0516,True
1410.4274,kimi-k2.5,contract,99.2,99.9,100.0,2399,2381,744,743,100.0,100.0,,171,19473,15731,0.047,True
1410.4274,minimax-m2.5,contract,98.5,99.7,100.0,2399,2364,744,742,100.0,99.9,,171,23598,28987,0.0769,True
1410.6086,qwen3.7-plus-nothink,contract,98.8,100.0,100.0,1925,1902,594,594,100.0,100.0,,164,13478,10726,0.1048,True
1410.6086,qwen3-max-2026-01-23,contract,98.6,99.5,100.0,1925,1899,594,591,100.0,100.0,,164,13321,9414,0.1223,True
1410.6086,glm-4.7,contract,98.8,99.8,100.0,1925,1901,594,593,100.0,99.9,,164,12948,9611,0.0296,True
1410.6086,kimi-k2.5,contract,92.0,89.2,100.0,1925,1771,594,530,92.8,93.2,,164,11368,9007,0.0271,True
1410.6086,minimax-m2.5,contract,98.8,100.0,100.0,1925,1902,594,594,100.0,100.0,,164,13188,17817,0.0462,True
1503.05974,qwen3.7-plus-nothink,contract,99.5,100.0,100.0,9890,9842,1790,1790,100.0,100.0,,449,39272,26987,0.2797,True
1503.05974,qwen3-max-2026-01-23,contract,99.5,99.9,100.0,9890,9836,1790,1788,100.0,99.8,,449,38820,23824,0.3219,True
1503.05974,glm-4.7,contract,99.4,99.9,100.0,9890,9830,1790,1788,99.9,100.0,,449,37789,24387,0.079,True
1503.05974,kimi-k2.5,contract,99.5,100.0,100.0,9890,9843,1790,1790,100.0,100.0,,449,29560,28185,0.08,True
1503.05974,minimax-m2.5,contract,99.3,99.7,100.0,9890,9823,1790,1785,99.9,99.9,,449,38067,44949,0.1204,True
1504.01329,qwen3.7-plus-nothink,contract,97.3,100.0,100.0,855,832,188,188,100.0,99.9,,94,16760,10095,0.1109,True
1504.01329,qwen3-max-2026-01-23,contract,97.3,100.0,100.0,855,832,188,188,100.0,99.9,,94,16636,9832,0.1343,True
1504.01329,glm-4.7,contract,97.3,100.0,100.0,855,832,188,188,99.9,99.5,,94,16392,9328,0.0318,True
1504.01329,kimi-k2.5,contract,97.3,100.0,100.0,855,832,188,188,100.0,99.9,,94,13970,8342,0.0279,True
1504.01329,minimax-m2.5,contract,97.8,100.0,100.0,855,836,188,188,100.0,99.9,,94,16106,19137,0.0512,True
1505.04697,qwen3.7-plus-nothink,contract,97.2,100.0,100.0,1579,1534,532,532,99.8,99.6,,151,26893,16190,0.1778,True
1505.04697,qwen3-max-2026-01-23,contract,97.3,99.8,100.0,1579,1536,532,531,99.6,98.8,,151,26635,15373,0.2115,True
1505.04697,glm-4.7,contract,97.3,99.8,100.0,1579,1536,532,531,99.6,98.9,,151,26126,15104,0.0511,True
