pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
1611.00590,qwen-plus,raw_xml,98.2,98.8,100.0,2387,2344,758,749,98.7,95.8,,133,115432,70823,0.234,True
1611.07079,qwen-plus,raw_xml,96.3,93.4,100.0,894,861,182,170,100.0,99.9,,88,70216,48532,0.1532,True
1604.01212,qwen-plus,raw_xml,96.1,96.8,100.0,2412,2317,630,610,99.7,98.9,,150,283597,131604,0.4901,True
1701.01189,qwen-plus,raw_xml,83.7,76.9,100.0,522,437,147,113,99.8,99.6,,80,69747,42939,0.1417,True
1706.07922,qwen-plus,raw_xml,88.4,72.3,100.0,561,496,130,94,99.9,99.5,,21,41104,23215,0.0793,True
1410.4274,qwen-plus,raw_xml,92.5,88.6,100.0,2399,2220,744,659,95.4,90.3,,171,302133,183526,0.6088,True
1703.01203,qwen-plus,raw_xml,92.8,86.8,111.5,1411,1309,296,257,98.1,94.1,,68,110298,72999,0.2342,True
1708.06828,qwen-plus,raw_xml,95.1,96.4,100.0,447,425,56,54,98.3,87.4,,92,36773,21228,0.0719,True
1806.01506,qwen-plus,raw_xml,94.3,100.0,100.0,263,248,49,49,100.0,99.5,,43,11886,8351,0.0262,True
1710.00782,qwen-plus,raw_xml,97.3,94.5,100.0,711,692,220,208,99.5,99.4,,70,51296,33915,0.1089,True
1803.10122,qwen-plus,raw_xml,96.5,99.5,100.0,1767,1706,188,187,99.8,99.9,,185,84628,48198,0.1641,True
1901.06081,qwen-plus,raw_xml,94.9,95.0,100.0,874,829,100,95,99.9,99.6,,108,45868,29484,0.0957,True
1808.04308,qwen-plus,raw_xml,95.9,94.7,100.0,802,769,228,216,99.9,99.0,,120,82295,55813,0.1775,True
2003.11021,qwen-plus,raw_xml,82.6,96.8,100.0,460,380,31,30,93.5,99.5,,97,42307,25328,0.0845,True
1212.6831,qwen-plus,raw_xml,88.5,86.7,108.5,2719,2405,1371,1189,96.2,92.5,,166,411829,256828,0.8431,True
