trap,kiwi_good,kiwi_bad,delta
81,0.8102,0.8088,0.0014
82,0.8294,0.8231,0.0063
83,0.8548,0.8461,0.0087
84,0.8228,0.8213,0.0015
99,0.8153,0.8155,-0.0002
85,0.6228,0.6131,0.0097
86,0.8323,0.7619,0.0705
87,0.8123,0.8112,0.0011
88,0.8316,0.831,0.0006
89,0.8457,0.8416,0.0041
100,0.7064,0.6912,0.0152
90,0.8278,0.8339,-0.0061
91,0.712,0.7071,0.0049
92,0.7388,0.7451,-0.0062
93,0.7495,0.7498,-0.0004
94,0.794,0.7954,-0.0014
95,0.8058,0.7983,0.0075
96,0.8189,0.8208,-0.0018
97,0.7559,0.7567,-0.0007
98,0.6568,0.6456,0.0113
101,0.8218,0.8008,0.021
102,0.8317,0.8102,0.0215
103,0.8247,0.7921,0.0326
104,0.7931,0.7941,-0.001
105,0.8189,0.8125,0.0064
106,0.7551,0.7454,0.0097
107,0.7226,0.7107,0.012
108,0.8135,0.8117,0.0018
109,0.7377,0.7359,0.0017
110,0.6933,0.6616,0.0317
111,0.7953,0.7924,0.003
112,0.8097,0.8083,0.0014
113,0.7644,0.7505,0.0139
114,0.7635,0.7258,0.0377
115,0.6933,0.6715,0.0218
116,0.7838,0.7733,0.0105
117,0.7656,0.769,-0.0035
118,0.7621,0.7509,0.0113
119,0.8411,0.8315,0.0096
120,0.7936,0.7927,0.0008
