pmcid,n_units,median,p10,mean
PMC12308477,341,0.7486,0.515,0.6949
PMC12337226,66,0.7649,0.2972,0.6965
PMC12412022,110,0.7061,0.3275,0.6274
PMC12461488,179,0.6265,0.4207,0.646
PMC12461492,173,0.6999,0.5153,0.7022
PMC12801128,135,0.775,0.3525,0.6877
PMC12980513,195,0.7551,0.4215,0.6971
PMC13077542,74,0.7655,0.3174,0.6876
PMC13078957,289,0.6972,0.2552,0.5764
PMC13103597,92,0.7647,0.2717,0.628
PMC13150831,102,0.7602,0.4445,0.7061
PMC13167505,194,0.7019,0.2808,0.6357
PMC13167508,80,0.7419,0.3095,0.6278
PMC13167991,112,0.6712,0.2448,0.5716
PMC13168002,165,0.3772,0.2373,0.4996
PMC13168003,124,0.4417,0.2454,0.5186
PMC13168004,92,0.4451,0.2376,0.5114
PMC13168028,146,0.551,0.2464,0.536
PMC13195546,65,0.7895,0.3177,0.6878
PMC13195549,181,0.7881,0.483,0.721
PMC13195550,136,0.7557,0.308,0.6817
PMC13195551,91,0.6638,0.2699,0.5981
PMC13195552,111,0.7798,0.2787,0.6401
PMC13195557,263,0.7611,0.2634,0.6181
PMC13223667,145,0.7439,0.2817,0.6638
ALL,3661,0.734,0.2749,0.6356
