pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
PMC12337226,qwen-plus,contract,100.0,100.0,100.0,41,41,1,1,100.0,100.0,,66,6603,5069,0.0154,True
PMC12337226,qwen-plus,naive,41.5,100.0,100.0,41,17,1,1,100.0,100.0,,66,6424,4952,0.015,True
PMC12412022,qwen-plus,contract,100.0,100.0,100.0,134,134,147,147,100.0,99.9,,110,11167,8115,0.0252,True
PMC12412022,qwen-plus,naive,37.3,29.9,100.0,134,50,147,44,95.6,100.0,,110,9754,6954,0.0217,True
PMC12461488,qwen-plus,contract,100.0,100.0,100.0,103,103,7,7,100.0,100.0,,179,14002,9119,0.0294,True
PMC12461488,qwen-plus,naive,56.3,85.7,100.0,103,58,7,6,100.0,100.0,,179,13672,8905,0.0287,True
PMC12461492,qwen-plus,contract,100.0,100.0,100.0,115,115,7,7,100.0,100.0,,173,16170,10640,0.0342,True
PMC12461492,qwen-plus,naive,45.2,100.0,100.0,115,52,7,7,100.0,100.0,,173,15699,10239,0.033,True
PMC12308477,qwen-plus,contract,100.0,83.3,100.0,228,228,6,5,100.0,100.0,,341,22191,12848,0.0434,True
PMC12308477,qwen-plus,naive,41.7,83.3,100.0,228,95,6,5,100.0,100.0,,341,21155,12159,0.0412,True
PMC12980513,qwen-plus,contract,100.0,100.0,100.0,128,128,58,58,100.0,100.0,,195,16727,9245,0.0319,True
PMC12980513,qwen-plus,naive,53.1,43.1,100.0,128,68,58,25,100.0,100.0,,195,15842,8566,0.0298,True
PMC12801128,qwen-plus,contract,100.0,100.0,100.0,164,164,9,9,100.0,100.0,,135,18177,13865,0.0423,True
PMC12801128,qwen-plus,naive,52.4,100.0,100.0,164,86,9,9,100.0,100.0,,135,17541,13549,0.0411,True
PMC13077542,qwen-plus,contract,99.1,84.6,100.0,109,108,13,11,100.0,100.0,,74,9693,7741,0.0232,True
PMC13077542,qwen-plus,naive,56.0,30.8,100.0,109,61,13,4,100.0,100.0,,74,9261,7246,0.0219,True
PMC13103597,qwen-plus,contract,100.0,100.0,100.0,85,85,1,1,100.0,100.0,,92,9517,7456,0.0225,True
PMC13103597,qwen-plus,naive,52.9,0.0,100.0,85,45,1,0,100.0,0.0,,92,9201,7228,0.0218,True
PMC13150831,qwen-plus,contract,100.0,100.0,100.0,88,88,11,11,100.0,100.0,,102,10818,7936,0.0245,True
PMC13150831,qwen-plus,naive,60.2,81.8,100.0,88,53,11,9,99.6,100.0,,102,10527,7817,0.0241,True
PMC13167505,qwen-plus,contract,100.0,,100.0,70,70,0,0,100.0,,,194,16838,10649,0.0348,True
PMC13167505,qwen-plus,naive,47.1,,100.0,70,33,0,0,100.0,,,194,16575,10484,0.0342,True
PMC13167508,qwen-plus,contract,100.0,,100.0,104,104,0,0,100.0,,,80,14211,10967,0.0333,True
PMC13167508,qwen-plus,naive,46.2,,100.0,104,48,0,0,100.0,,,80,14010,10602,0.0324,True
PMC13167991,qwen-plus,contract,100.0,,100.0,109,109,0,0,100.0,,,112,16493,11499,0.0362,True
PMC13167991,qwen-plus,naive,43.1,,100.0,109,47,0,0,100.0,,,112,16003,10971,0.0347,True
PMC13195546,qwen-plus,contract,100.0,,100.0,26,26,0,0,100.0,,,65,5798,4206,0.0131,True
PMC13195546,qwen-plus,naive,53.8,,100.0,26,14,0,0,100.0,,,65,5711,4249,0.0131,True
PMC13168003,qwen-plus,contract,100.0,,100.0,140,140,0,0,100.0,,,124,15339,11246,0.0348,True
PMC13168003,qwen-plus,naive,52.1,,100.0,140,73,0,0,100.0,,,124,14764,10718,0.0332,True
PMC13168002,qwen-plus,contract,100.0,,100.0,156,156,0,0,100.0,,,165,21267,14890,0.0468,True
PMC13168002,qwen-plus,naive,53.2,,100.0,156,83,0,0,100.0,,,165,20500,14327,0.0451,True
PMC13168004,qwen-plus,contract,99.1,,100.0,112,111,0,0,100.0,,,92,12609,9612,0.0293,True
PMC13168004,qwen-plus,naive,50.0,,100.0,112,56,0,0,100.0,,,92,12151,9208,0.0281,True
PMC13168028,qwen-plus,contract,100.0,,100.0,138,138,0,0,100.0,,,146,13285,9243,0.0291,True
PMC13168028,qwen-plus,naive,52.2,,100.0,138,72,0,0,97.7,,,146,12773,8672,0.0276,True
PMC13078957,qwen-plus,contract,98.6,,100.0,437,431,0,0,96.4,,,289,36323,28749,0.0866,True
PMC13078957,qwen-plus,naive,28.1,,100.0,437,123,0,0,100.0,,,289,33899,26333,0.0798,True
PMC13195549,qwen-plus,contract,100.0,,100.0,51,51,0,0,100.0,,,181,12975,8183,0.0267,True
PMC13195549,qwen-plus,naive,60.8,,100.0,51,31,0,0,100.0,,,181,12783,8066,0.0264,True
PMC13195552,qwen-plus,contract,100.0,,100.0,109,109,0,0,100.0,,,111,9534,7322,0.0223,True
PMC13195552,qwen-plus,naive,34.9,,100.0,109,38,0,0,100.0,,,111,9051,6784,0.0208,True
PMC13195551,qwen-plus,contract,98.7,,100.0,78,77,0,0,100.0,,,91,13778,12000,0.035,True
PMC13195551,qwen-plus,naive,55.1,,100.0,78,43,0,0,100.0,,,91,13497,11832,0.0345,True
PMC13195550,qwen-plus,contract,100.0,,100.0,73,73,0,0,100.0,,,136,15947,11978,0.0367,True
PMC13195550,qwen-plus,naive,56.2,,100.0,73,41,0,0,100.0,,,136,15681,11543,0.0356,True
PMC13223667,qwen-plus,contract,100.0,,100.0,75,75,0,0,100.0,,,148,13719,10442,0.0319,True
PMC13223667,qwen-plus,naive,52.0,,100.0,75,39,0,0,100.0,,,148,13455,10298,0.0314,True
PMC13195557,qwen-plus,contract,100.0,,100.0,214,214,0,0,100.0,,,263,20746,15044,0.0467,True
PMC13195557,qwen-plus,naive,51.9,,100.0,214,111,0,0,100.0,,,263,20024,14506,0.045,True
