pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
PMC12308477,qwen3.7-plus-nothink,contract,100.0,83.3,100.0,228,228,6,5,100.0,100.0,,341,21572,15570,0.1581,True
PMC12308477,qwen3-max-2026-01-23,contract,100.0,83.3,100.0,228,228,6,5,100.0,100.0,,341,22197,12622,0.1744,True
PMC12308477,glm-4.7,contract,100.0,83.3,100.0,228,228,6,5,100.0,100.0,,341,20619,14070,0.0446,True
PMC12308477,kimi-k2.5,contract,100.0,83.3,100.0,228,228,6,5,100.0,100.0,,341,15878,12247,0.0372,True
PMC12308477,minimax-m2.5,contract,100.0,83.3,100.0,228,228,6,5,100.0,100.0,,341,20005,17859,0.0517,True
PMC12337226,qwen3.7-plus-nothink,contract,100.0,100.0,100.0,41,41,1,1,100.0,100.0,,66,6345,5754,0.0536,True
PMC12337226,qwen3-max-2026-01-23,contract,100.0,100.0,100.0,41,41,1,1,100.0,100.0,,66,6602,5025,0.0641,True
PMC12337226,glm-4.7,contract,100.0,100.0,100.0,41,41,1,1,100.0,100.0,,66,5991,5203,0.0152,True
PMC12337226,kimi-k2.5,contract,100.0,100.0,100.0,41,41,1,1,100.0,100.0,,66,5260,4760,0.0137,True
PMC12337226,minimax-m2.5,contract,100.0,100.0,100.0,41,41,1,1,100.0,100.0,,66,5717,7583,0.0197,True
PMC12412022,qwen3.7-plus-nothink,contract,100.0,100.0,100.0,134,134,147,147,100.0,99.9,,110,10477,9325,0.0874,True
PMC12412022,qwen3-max-2026-01-23,contract,100.0,98.6,100.0,134,134,147,145,100.0,100.0,,110,11168,8006,0.1037,True
PMC12412022,glm-4.7,contract,100.0,100.0,100.0,134,134,147,147,100.0,99.9,,110,10356,8804,0.0259,True
PMC12412022,kimi-k2.5,contract,100.0,100.0,100.0,134,134,147,147,100.0,99.9,,110,9082,8221,0.0237,True
PMC12412022,minimax-m2.5,contract,100.0,100.0,100.0,134,134,147,147,100.0,99.9,,110,10283,9886,0.028,True
PMC12461488,qwen3.7-plus-nothink,contract,100.0,100.0,100.0,103,103,7,7,100.0,100.0,,179,13561,10794,0.1054,True
PMC12461488,qwen3-max-2026-01-23,contract,100.0,100.0,100.0,103,103,7,7,100.0,100.0,,179,14002,9134,0.1213,True
PMC12461488,glm-4.7,contract,100.0,100.0,100.0,103,103,7,7,100.0,100.0,,179,12901,9826,0.03,True
PMC12461488,kimi-k2.5,contract,100.0,100.0,100.0,103,103,7,7,100.0,100.0,,179,10298,8556,0.0254,True
PMC12461488,minimax-m2.5,contract,100.0,100.0,100.0,103,103,7,7,100.0,100.0,,179,12666,8146,0.0264,True
PMC12461492,qwen3.7-plus-nothink,contract,100.0,100.0,100.0,115,115,7,7,100.0,100.0,,173,15700,12523,0.1222,True
PMC12461492,qwen3-max-2026-01-23,contract,100.0,100.0,100.0,115,115,7,7,100.0,100.0,,173,16178,10675,0.1413,True
PMC12461492,glm-4.7,contract,100.0,100.0,100.0,115,115,7,7,100.0,100.0,,173,15010,11537,0.0351,True
PMC12461492,kimi-k2.5,contract,100.0,100.0,100.0,115,115,7,7,100.0,100.0,,173,12660,10245,0.0306,True
PMC12461492,minimax-m2.5,contract,100.0,100.0,100.0,115,115,7,7,100.0,100.0,,173,14166,15014,0.0414,True
PMC12801128,qwen3.7-plus-nothink,contract,100.0,100.0,100.0,164,164,9,9,100.0,100.0,,135,17394,14567,0.1396,True
PMC12801128,qwen3-max-2026-01-23,contract,100.0,100.0,100.0,164,164,9,9,100.0,100.0,,135,18177,12946,0.1679,True
PMC12801128,glm-4.7,contract,100.0,100.0,100.0,164,164,9,9,100.0,100.0,,135,16926,14144,0.0418,True
PMC12801128,kimi-k2.5,contract,100.0,100.0,100.0,164,164,9,9,100.0,100.0,,135,14332,12862,0.0372,True
PMC12801128,minimax-m2.5,contract,86.6,100.0,100.0,164,142,9,9,100.0,100.0,,135,16083,15958,0.0448,True
PMC12980513,qwen3.7-plus-nothink,contract,100.0,100.0,100.0,128,128,58,58,100.0,100.0,,195,16102,11119,0.115,True
PMC12980513,qwen3-max-2026-01-23,contract,100.0,100.0,100.0,128,128,58,58,100.0,100.0,,195,16718,9069,0.1272,True
PMC12980513,glm-4.7,contract,100.0,100.0,100.0,128,128,58,58,100.0,100.0,,195,15603,9773,0.032,True
PMC12980513,kimi-k2.5,contract,100.0,100.0,100.0,128,128,58,58,100.0,100.0,,195,11507,8619,0.0264,True
PMC12980513,minimax-m2.5,contract,100.0,100.0,100.0,128,128,58,58,100.0,100.0,,195,14845,21648,0.0552,True
PMC13077542,qwen3.7-plus-nothink,contract,100.0,100.0,100.0,109,109,13,13,100.0,100.0,,74,9172,8636,0.0793,True
PMC13077542,qwen3-max-2026-01-23,contract,99.1,100.0,100.0,109,108,13,13,100.0,100.0,,74,9695,7682,0.097,True
PMC13077542,glm-4.7,contract,100.0,100.0,100.0,109,109,13,13,100.0,100.0,,74,8985,7519,0.0222,True
PMC13077542,kimi-k2.5,contract,100.0,100.0,100.0,109,109,13,13,100.0,100.0,,74,7843,7462,0.0212,True
PMC13077542,minimax-m2.5,contract,100.0,100.0,100.0,109,109,13,13,100.0,100.0,,74,8867,5155,0.0174,True
PMC13078957,qwen3.7-plus-nothink,contract,96.3,,100.0,437,421,0,0,95.4,,,289,34544,31493,0.2926,True
PMC13078957,qwen3-max-2026-01-23,contract,100.0,,100.0,437,437,0,0,100.0,,,289,36557,25348,0.3311,True
PMC13078957,glm-4.7,contract,100.0,,100.0,437,437,0,0,100.0,,,289,33948,29573,0.0863,True
PMC13078957,kimi-k2.5,contract,100.0,,100.0,437,437,0,0,100.0,,,289,28517,26870,0.0766,True
PMC13078957,minimax-m2.5,contract,100.0,,100.0,437,437,0,0,100.0,,,289,25508,24365,0.0691,True
PMC13103597,qwen3.7-plus-nothink,contract,100.0,100.0,100.0,85,85,1,1,100.0,100.0,,92,9307,8570,0.0793,True
PMC13103597,qwen3-max-2026-01-23,contract,100.0,100.0,100.0,85,85,1,1,100.0,100.0,,92,9518,7397,0.0939,True
PMC13103597,glm-4.7,contract,100.0,100.0,100.0,85,85,1,1,100.0,100.0,,92,8345,7418,0.0215,True
PMC13103597,kimi-k2.5,contract,80.0,0.0,100.0,85,68,1,0,98.9,0.0,,92,7412,6762,0.0195,True
PMC13103597,minimax-m2.5,contract,80.0,0.0,100.0,85,68,1,0,98.9,0.0,,92,8106,9880,0.0262,True
PMC13150831,qwen3.7-plus-nothink,contract,100.0,100.0,100.0,88,88,11,11,100.0,100.0,,102,10224,8927,0.0842,True
PMC13150831,qwen3-max-2026-01-23,contract,100.0,100.0,100.0,88,88,11,11,100.0,100.0,,102,10818,7845,0.1013,True
PMC13150831,glm-4.7,contract,100.0,100.0,100.0,88,88,11,11,100.0,100.0,,102,9937,8186,0.0243,True
PMC13150831,kimi-k2.5,contract,100.0,100.0,100.0,88,88,11,11,100.0,100.0,,102,8304,7401,0.0214,True
PMC13150831,minimax-m2.5,contract,83.0,100.0,100.0,88,73,11,11,99.8,100.0,,102,9431,7038,0.0216,True
PMC13167505,qwen3.7-plus-nothink,contract,100.0,,100.0,70,70,0,0,100.0,,,194,16319,12655,0.1249,True
PMC13167505,qwen3-max-2026-01-23,contract,100.0,,100.0,70,70,0,0,100.0,,,194,16838,10577,0.142,True
PMC13167505,glm-4.7,contract,100.0,,100.0,70,70,0,0,100.0,,,194,15213,11099,0.0344,True
PMC13167505,kimi-k2.5,contract,100.0,,100.0,70,70,0,0,100.0,,,194,12307,10051,0.0299,True
PMC13167505,minimax-m2.5,contract,100.0,,100.0,70,70,0,0,100.0,,,194,14771,16394,0.0446,True
PMC13167508,qwen3.7-plus-nothink,contract,100.0,,100.0,104,104,0,0,100.0,,,80,13617,11848,0.1119,True
PMC13167508,qwen3-max-2026-01-23,contract,100.0,,100.0,104,104,0,0,100.0,,,80,14213,10715,0.137,True
PMC13167508,glm-4.7,contract,100.0,,100.0,104,104,0,0,100.0,,,80,13354,11320,0.0333,True
PMC13167508,kimi-k2.5,contract,100.0,,100.0,104,104,0,0,100.0,,,80,11487,10542,0.0303,True
PMC13167508,minimax-m2.5,contract,100.0,,100.0,104,104,0,0,100.0,,,80,12807,13502,0.0372,True
PMC13167991,qwen3.7-plus-nothink,contract,100.0,,100.0,109,109,0,0,100.0,,,112,15711,12549,0.1224,True
PMC13167991,qwen3-max-2026-01-23,contract,100.0,,100.0,109,109,0,0,100.0,,,112,16483,11269,0.1477,True
PMC13167991,glm-4.7,contract,100.0,,100.0,109,109,0,0,100.0,,,112,15201,11930,0.036,True
PMC13167991,kimi-k2.5,contract,100.0,,100.0,109,109,0,0,100.0,,,112,12676,11231,0.0326,True
PMC13167991,minimax-m2.5,contract,100.0,,100.0,109,109,0,0,100.0,,,112,14487,15779,0.0431,True
PMC13168002,qwen3.7-plus-nothink,contract,100.0,,100.0,156,156,0,0,100.0,,,165,20080,16867,0.1614,True
PMC13168002,qwen3-max-2026-01-23,contract,100.0,,100.0,156,156,0,0,100.0,,,165,21234,14763,0.1927,True
PMC13168002,glm-4.7,contract,100.0,,100.0,156,156,0,0,100.0,,,165,19978,16008,0.048,True
PMC13168002,kimi-k2.5,contract,100.0,,100.0,156,156,0,0,100.0,,,165,16572,14644,0.0425,True
PMC13168002,minimax-m2.5,contract,75.6,,100.0,156,118,0,0,100.0,,,165,18935,20626,0.0564,True
PMC13168003,qwen3.7-plus-nothink,contract,100.0,,100.0,140,140,0,0,100.0,,,124,14638,12521,0.119,True
PMC13168003,qwen3-max-2026-01-23,contract,100.0,,100.0,140,140,0,0,100.0,,,124,15315,10972,0.1421,True
PMC13168003,glm-4.7,contract,100.0,,100.0,140,140,0,0,100.0,,,124,14307,11649,0.0347,True
PMC13168003,kimi-k2.5,contract,100.0,,100.0,140,140,0,0,100.0,,,124,11893,10464,0.0304,True
PMC13168003,minimax-m2.5,contract,94.3,,100.0,140,132,0,0,100.0,,,124,13673,15767,0.0425,True
PMC13168004,qwen3.7-plus-nothink,contract,100.0,,100.0,112,112,0,0,100.0,,,92,11847,11002,0.1016,True
PMC13168004,qwen3-max-2026-01-23,contract,100.0,,100.0,112,112,0,0,100.0,,,92,12606,9450,0.121,True
PMC13168004,glm-4.7,contract,99.1,,100.0,112,111,0,0,100.0,,,92,11820,10508,0.0305,True
