pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
PMC12337226,qwen-plus,raw_xml,95.1,100.0,101.5,41,39,1,1,100.0,100.0,,67,7639,6171,0.0185,True
PMC12461488,qwen-plus,raw_xml,96.1,100.0,100.0,103,99,7,7,100.0,100.0,,179,16529,10441,0.0341,True
PMC12308477,qwen-plus,raw_xml,90.4,83.3,100.0,228,206,6,5,96.3,100.0,,341,27166,15356,0.0524,True
PMC12412022,qwen-plus,raw_xml,100.0,98.6,100.0,134,134,147,145,100.0,99.9,,110,23298,17569,0.0538,True
PMC12461492,qwen-plus,raw_xml,90.4,100.0,100.0,115,104,7,7,99.4,100.0,,173,18346,11815,0.0383,True
PMC13077542,qwen-plus,raw_xml,98.2,69.2,100.0,109,107,13,9,99.5,100.0,,74,13524,10320,0.0315,True
PMC12801128,qwen-plus,raw_xml,97.6,100.0,100.0,164,160,9,9,100.0,100.0,,135,22332,15552,0.049,True
PMC12980513,qwen-plus,raw_xml,100.0,100.0,100.0,128,128,58,58,100.0,100.0,,195,26306,15038,0.0511,True
PMC13103597,qwen-plus,raw_xml,95.3,100.0,100.0,85,81,1,1,100.0,100.0,,92,11212,8879,0.0267,True
PMC13150831,qwen-plus,raw_xml,95.5,81.8,100.0,88,84,11,9,100.0,100.0,,102,12382,9306,0.0285,True
PMC13167505,qwen-plus,raw_xml,98.6,,100.0,70,69,0,0,100.0,,,194,19783,11982,0.0398,True
PMC13167991,qwen-plus,raw_xml,97.2,,100.0,109,106,0,0,100.0,,,112,17970,12525,0.0394,True
PMC13167508,qwen-plus,raw_xml,97.1,,100.0,104,101,0,0,100.0,,,80,15509,12009,0.0364,True
PMC13078957,qwen-plus,raw_xml,93.8,,100.0,437,410,0,0,96.8,,,289,45817,34823,0.1063,True
PMC13168002,qwen-plus,raw_xml,100.0,,100.0,156,156,0,0,100.0,,,165,22935,16255,0.0509,True
PMC13168004,qwen-plus,raw_xml,84.8,,100.0,112,95,0,0,100.0,,,92,15056,10700,0.0334,True
PMC13195546,qwen-plus,raw_xml,100.0,,100.0,26,26,0,0,100.0,,,65,6253,4452,0.0139,True
PMC13168003,qwen-plus,raw_xml,87.9,,100.0,140,123,0,0,100.0,,,124,18484,12716,0.0402,True
PMC13168028,qwen-plus,raw_xml,100.0,,100.0,138,138,0,0,100.0,,,146,14839,10433,0.0327,True
PMC13195549,qwen-plus,raw_xml,98.0,,100.0,51,50,0,0,100.0,,,181,14428,8970,0.0295,True
PMC13195552,qwen-plus,raw_xml,100.0,,100.0,109,109,0,0,100.0,,,111,10891,8391,0.0255,True
PMC13195550,qwen-plus,raw_xml,89.0,,100.0,73,65,0,0,100.0,,,136,18095,13737,0.042,True
PMC13195551,qwen-plus,raw_xml,80.8,,100.0,78,63,0,0,98.9,,,91,16940,13091,0.0397,True
PMC13223667,qwen-plus,raw_xml,98.7,,100.0,75,74,0,0,100.0,,,148,15123,11509,0.0351,True
PMC13195557,qwen-plus,raw_xml,94.9,,100.0,214,203,0,0,99.8,,,263,18316,12842,0.0403,True
