pmcid,model,system,ppa,mfr,coverage,n_ann,ann_kept,n_math,math_kept,ppa_ordered,mfr_ordered,judge,n_units,fresh_tok,completion_tok,cost_cny,wellformed
PMC12308477,qwen-plus,contract,100.0,83.3,100.0,228,228,6,5,100.0,100.0,,341,22193,12849,0.0435,True
PMC12308477,qwen-plus,raw_xml,90.4,83.3,100.0,228,206,6,5,96.3,100.0,,341,27165,15448,0.0526,True
PMC12308477,qwen-plus,naive,41.7,83.3,100.0,228,95,6,5,100.0,100.0,,341,21141,12263,0.0414,True
PMC12337226,qwen-plus,contract,100.0,100.0,100.0,41,41,1,1,100.0,100.0,,66,6603,5081,0.0154,True
PMC12337226,qwen-plus,raw_xml,95.1,100.0,101.5,41,39,1,1,100.0,100.0,,67,7639,6467,0.019,True
PMC12337226,qwen-plus,naive,41.5,100.0,100.0,41,17,1,1,100.0,100.0,,66,6424,4952,0.015,True
PMC12412022,qwen-plus,contract,100.0,100.0,100.0,134,134,147,147,100.0,99.9,,110,11168,8132,0.0252,True
PMC12412022,qwen-plus,raw_xml,99.3,83.7,100.0,134,133,147,123,99.7,100.0,,110,23291,17427,0.0535,True
PMC12412022,qwen-plus,naive,37.3,29.9,100.0,134,50,147,44,95.6,100.0,,110,9753,6965,0.0217,True
PMC12461488,qwen-plus,contract,100.0,100.0,100.0,103,103,7,7,100.0,100.0,,179,14002,9713,0.0306,True
PMC12461488,qwen-plus,raw_xml,99.0,100.0,100.0,103,102,7,7,100.0,100.0,,179,16529,10457,0.0341,True
PMC12461488,qwen-plus,naive,56.3,85.7,100.0,103,58,7,6,100.0,100.0,,179,13672,8863,0.0287,True
PMC12461492,qwen-plus,contract,100.0,100.0,100.0,115,115,7,7,100.0,100.0,,173,16186,10650,0.0342,True
PMC12461492,qwen-plus,raw_xml,90.4,100.0,100.0,115,104,7,7,99.4,100.0,,173,18348,12258,0.0392,True
PMC12461492,qwen-plus,naive,45.2,100.0,100.0,115,52,7,7,100.0,100.0,,173,15722,10299,0.0332,True
PMC12801128,qwen-plus,contract,100.0,100.0,100.0,164,164,9,9,100.0,100.0,,135,18177,14125,0.0428,True
PMC12801128,qwen-plus,raw_xml,100.0,100.0,100.0,164,164,9,9,100.0,100.0,,135,22341,15501,0.0489,True
PMC12801128,qwen-plus,naive,52.4,100.0,100.0,164,86,9,9,100.0,100.0,,135,17541,12893,0.0398,True
PMC12980513,qwen-plus,contract,100.0,100.0,100.0,128,128,58,58,100.0,100.0,,195,16729,9282,0.0319,True
PMC12980513,qwen-plus,raw_xml,100.0,100.0,100.0,128,128,58,58,100.0,100.0,,195,26305,15161,0.0514,True
PMC12980513,qwen-plus,naive,53.1,43.1,100.0,128,68,58,25,100.0,100.0,,195,15822,8555,0.0298,True
PMC13077542,qwen-plus,contract,99.1,84.6,100.0,109,108,13,11,100.0,100.0,,74,9693,7655,0.0231,True
PMC13077542,qwen-plus,raw_xml,99.1,61.5,100.0,109,108,13,8,100.0,100.0,,74,13530,10123,0.0311,True
PMC13077542,qwen-plus,naive,56.0,30.8,100.0,109,61,13,4,100.0,100.0,,74,9261,7282,0.022,True
PMC13078957,qwen-plus,contract,99.3,,100.0,437,434,0,0,100.0,,,289,36330,28953,0.087,True
PMC13078957,qwen-plus,raw_xml,93.8,,100.0,437,410,0,0,96.5,,,289,45830,34926,0.1065,True
PMC13078957,qwen-plus,naive,28.1,,100.0,437,123,0,0,100.0,,,289,33904,26410,0.0799,True
PMC13103597,qwen-plus,contract,100.0,100.0,100.0,85,85,1,1,100.0,100.0,,92,9517,7460,0.0225,True
